City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,rikitea,PF,69.8,-23.12,-134.97,Pension Maro'i
2,cartagena,CO,91.4,10.4,-75.51,Allure Chocolat
4,aykhal,RU,64.4,66.0,111.5,
5,laguna,US,87.01,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
6,bone,DE,72.0,51.97,12.14,Sporthotel Wallwitz
9,adrar,MR,107.71,20.5,-10.07,
10,canaries,ES,75.2,28.0,-15.5,Villa del Monte
12,faanui,PF,78.89,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
13,iberia,US,80.6,29.95,-91.75,back to back rv park
15,jieshi,CN,82.49,22.81,115.83,Yuehai Hotel
20,sao desiderio,BR,83.89,-12.36,-44.97,Pousada do Luizão
21,ikornnes,NO,60.01,62.39,6.56,Sjøbakken Camping Møre og Romsdal
23,hudson bay,CA,77.36,52.85,-102.38,Norwood Motel LTD
24,inhambane,MZ,64.4,-23.86,35.38,Oceano
25,scarborough,GB,73.0,54.28,-0.4,Ambassador
26,geraldton,AU,60.8,-28.77,114.6,Broadwater Mariner Resort
27,castro,BR,68.68,-24.79,-50.01,CHACARA BAILLY
28,la ronge,CA,77.0,55.1,-105.28,Northland Motor Hotel
29,sept-iles,CA,73.4,50.2,-66.38,Comfort Inn
31,vaini,TO,68.0,-21.2,-175.2,Keleti Beach Resort
36,qaqortoq,GL,62.6,60.72,-46.03,Hotel Qaqortoq
38,vianopolis,BR,76.46,-16.74,-48.52,Hotel Regente
39,chicama,PE,72.5,-7.84,-79.15,Hospedaje Punta Cana PERU
40,luanda,AO,73.4,-8.84,13.23,EPIC SANA Luanda
41,east london,ZA,69.4,-33.02,27.91,Tu Casa
42,puerto ayora,EC,77.0,-0.74,-90.35,Finch Bay Galapagos Hotel
43,linhares,BR,75.16,-19.39,-40.07,Hotel Conceição
44,taltal,CL,62.11,-25.4,-70.48,Residencial Karime
47,naze,JP,77.0,28.37,129.48,奄美ポートタワーホテル
49,harper,LR,77.22,4.38,-7.72,Cape View Guest House
